ADMIN,ISO_A3,ADMIN_2,ISO_A3_2,distance,cent_lat,cent_lon,coast_lat,coast_lon
Saint Barthelemy,BLM,Saint Barthelemy,BLM,0.01568022729239,18,-62.8326196249,17.9211015367,-62.8303631282
Puerto Rico,PRI,Puerto Rico,PRI,0.23115978426861,18,-66.4676002928,17.9926618510,-66.4691462880
Anguilla,AIA,Anguilla,AIA,0.01070342466635,18,-63.0591485901,18.2364769550,-63.0677791010
British Virgin Islands,VGB,British Virgin Islands,VGB,0.03178925342089,19,-64.5028631938,18.4925804710,-64.5295304030
Jamaica,JAM,Jamaica,JAM,0.29032374687776,18,-77.3188104660,18.4293887390,-77.2232966790
Cayman Islands,CYM,Cayman Islands,CYM,0.23112321952582,19,-80.8770258907,19.3353945980,-81.0895076160
Bermuda,BMU,Bermuda,BMU,0.00011130151402,32,-64.7634913826,32.3102395199,-64.7635337031
Heard Island and McDonald Islands,HMD,Heard Island and McDonald Islands,HMD,0.08409785758505,-53,73.5052101889,-53.0280901020,73.4470320970
Saint Helena,SHN,Saint Helena,SHN,9.91312336494736,-25,-10.1384178372,-16.0157203100,-5.7637426420
Mauritius,MUS,Mauritius,MUS,0.06413735933268,-20,57.8497001648,-20.2121721330,57.7913517590
Comoros,COM,Comoros,COM,0.18168192816424,-12,43.6801631865,-11.8736507140,43.4987887306
São Tomé and Principe,STP,São Tomé and Principe,STP,0.05603979413381,0,6.7264428742,0.3979442305,6.6948944269
Cabo Verde,CPV,Cabo Verde,CPV,0.61852825578452,16,-23.9756558080,16.5598819030,-24.0440974600
Malta,MLT,Malta,MLT,0.04680796470866,36,14.4037540314,35.9676311553,14.4081171789
Jersey,JEY,Jersey,JEY,0.01866291502939,49,-2.1274308145,49.2056338560,-2.1379288400
Guernsey,GGY,Guernsey,GGY,0.00944594665364,49,-2.5304800233,49.4799665390,-2.5221248040
Isle of Man,IMN,Isle of Man,IMN,0.08674373166531,54,-4.5336950831,54.2654483090,-4.6124568350
Aland,ALA,Aland,ALA,0.00475870665245,60,20.0555828218,60.1906192080,20.0578719410
Faroe Islands,FRO,Faroe Islands,FRO,0.02769200710802,62,-6.8705547762,62.0613467470,-6.8459366530
,,,,0.98046804800414,,,-10.5048153630,105.5817977220
British Indian Ocean Territory,IOT,British Indian Ocean Territory,IOT,0.13725538306684,-7,72.2988148208,-7.2683244770,72.3576766290
Singapore,SGP,Singapore,SGP,0.08062956084467,1,103.8134676580,1.2875837260,103.7758895190
Norfolk Island,NFK,Norfolk Island,NFK,0.02210764977635,-29,167.9551693325,-29.0565731750,167.9504500660
Cook Islands,COK,Cook Islands,COK,0.49386891350986,-20,-158.7912136053,-19.8173153630,-158.2973526680
Tonga,TON,Tonga,TON,0.32670204506219,-20,-174.8685122725,-19.8013648420,-175.0593155590
Wallis and Futuna,WLF,Wallis and Futuna,WLF,0.96268087315915,-14,-177.0589960231,-13.3392880190,-176.1828100250
Samoa,WSM,Samoa,WSM,0.04653068082052,-14,-172.1612492990,-13.7227263238,-172.1951528393
Solomon Islands,SLB,Solomon Islands,SLB,0.26587491153814,-9,159.6380944629,-9.1110979150,159.8115340500
Tuvalu,TUV,Tuvalu,TUV,0.29726991415878,-8,178.5203531625,-8.0265438780,178.3906356130
Maldives,MDV,Maldives,MDV,0.12078717054938,4,73.3022707215,3.9420433610,73.3414819670
Nauru,NRU,Nauru,NRU,0.02296833805634,-1,166.9331319293,-0.5278221294,166.9549949938
Federated States of Micronesia,FSM,Federated States of Micronesia,FSM,1.49151366317084,7,155.2606335337,8.1118431660,154.3042912120
South Georgia and the Islands,SGS,South Georgia and the Islands,SGS,0.02734449893220,-55,-35.8823166145,-54.6829969350,-35.9093988963
Falkland Islands,FLK,Falkland Islands,FLK,0.05028021339146,-52,-59.3761028061,-51.7766252580,-59.3505753250
Vanuatu,VUT,Vanuatu,VUT,0.06156352314537,-16,167.7008441409,-16.2589657530,167.6793725920
Niue,NIU,Niue,NIU,0.05804134120146,-19,-169.8693460421,-19.0375302060,-169.9262589180
American Samoa,ASM,American Samoa,ASM,0.16836802652228,-14,-170.3989209228,-14.2585588520,-170.5672501290
Palau,PLW,Palau,PLW,0.02922822131089,7,134.3480333384,7.2218924232,134.3643401955
Guam,GUM,Guam,GUM,0.02454906498206,13,144.7719391202,13.4266041020,144.7894661787
Northern Mariana Islands,MNP,Northern Mariana Islands,MNP,0.10351958148566,16,145.5999550057,16.3446312520,145.6438094410
Bahrain,BHR,Bahrain,BHR,0.05666820293793,26,50.5634957755,26.0341080576,50.6201464083
,,,,0.00040928393240,,,-21.0296696295,154.3902281278
,,,,0.48731191913781,,,10.3766543640,114.4697371750
,,,,0.00820704018624,,,10.2943787214,-109.2288991244
Macao S.A.R,MAC,Macao S.A.R,MAC,0.00734655982526,22,113.5501978717,22.1649814191,113.5487230752
,,,,0.00505770118213,,,-12.4376184151,123.5859600391
,,,,2.21900252911195,,,13.5783552100,-80.0899145170
,,,,2.18743443324064,,,17.8548037780,-77.7307022780
,,,,2.15227009163736,,,15.4290225280,119.8881942070
